Timestamp,Image_Filename,Fabric_Type,Confidence_Score (%),Inspection_Status,Decision_Source
Thread Tear,ROLL-2026-002,SESSION_AUTO_1788423929,Linen,DEFECT DETECTED,AI Model
None,ROLL-2026-001,SESSION_AUTO_1788423928,Linen,PASS,AI Model
Thread Tear,ROLL-2026-002,SESSION_AUTO_1788423892,Linen,DEFECT DETECTED,AI Model
None,ROLL-2026-001,SESSION_AUTO_1788423891,Linen,PASS,AI Model
None,ROLL-2026-001,SESSION_AUTO_1788420614,Linen,PASS,AI Model
Thread Tear,ROLL-2026-002,SESSION_AUTO_1788420614,Linen,DEFECT DETECTED,AI Model
None,ROLL-2026-001,SESSION_AUTO_1788415057,Linen,PASS,AI Model
Thread Tear,ROLL-2026-002,SESSION_AUTO_1788415057,Linen,DEFECT DETECTED,AI Model
None,ROLL-2026-001,SESSION_AUTO_1788414588,Linen,PASS,AI Model
Thread Tear,ROLL-2026-002,SESSION_AUTO_1788414588,Linen,DEFECT DETECTED,AI Model
None,ROLL-2026-001,BATCH_20260812_001952_img_8.jpg,Silk,PASS,AI Model
None,ROLL-2026-001,BATCH_20260811_231543_img_1.png,Linen,PASS,AI Model
None,ROLL-2026-001,BATCH_20260811_231230_img_1.png,Denim,PASS,AI Model
None,ROLL-2026-001,BATCH_20260811_231230_img_1.png,Denim,PASS,AI Model
None,ROLL-2026-001,BATCH_20260811_231230_img_1.png,Denim,PASS,AI Model
